Time-Date,CPU Usage (%),Memory Usage (%),User Count,scale needed
2024-04-01 00:00:00,21,78,87,0
2024-04-01 01:00:00,5,77,379,0
2024-04-01 02:00:00,76,55,44,1
2024-04-01 03:00:00,40,41,158,0
2024-04-01 04:00:00,15,28,185,0
2024-04-01 05:00:00,46,46,481,1
2024-04-01 06:00:00,6,28,306,0
2024-04-01 07:00:00,22,71,444,1
2024-04-01 08:00:00,78,28,498,1
2024-04-01 09:00:00,53,33,469,1
2024-04-01 10:00:00,48,86,337,0
2024-04-01 11:00:00,15,84,446,1
2024-04-01 12:00:00,29,66,387,0
2024-04-01 13:00:00,66,49,497,1
2024-04-01 14:00:00,53,85,240,0
2024-04-01 15:00:00,25,44,306,0
2024-04-01 16:00:00,85,28,337,1
2024-04-01 17:00:00,91,22,248,1
2024-04-01 18:00:00,6,36,401,1
2024-04-01 19:00:00,38,72,492,1
2024-04-01 20:00:00,23,30,440,1
2024-04-01 21:00:00,61,64,21,0
2024-04-01 22:00:00,27,85,352,0
2024-04-01 23:00:00,13,40,374,0
2024-04-02 00:00:00,86,61,231,1
2024-04-02 01:00:00,7,79,466,1
2024-04-02 02:00:00,52,61,1,0
2024-04-02 03:00:00,78,90,314,1
2024-04-02 04:00:00,16,80,489,1
2024-04-02 05:00:00,38,43,159,0
2024-04-02 06:00:00,76,58,388,1
2024-04-02 07:00:00,92,60,310,1
2024-04-02 08:00:00,62,53,131,0
2024-04-02 09:00:00,10,60,128,0
2024-04-02 10:00:00,18,27,307,0
2024-04-02 11:00:00,68,68,274,0
2024-04-02 12:00:00,77,63,383,1
2024-04-02 13:00:00,14,29,392,0
2024-04-02 14:00:00,59,38,11,0
2024-04-02 15:00:00,30,80,407,1
2024-04-02 16:00:00,51,26,358,0
2024-04-02 17:00:00,49,22,214,0
2024-04-02 18:00:00,58,31,419,1
2024-04-02 19:00:00,70,61,479,1
2024-04-02 20:00:00,76,21,259,1
2024-04-02 21:00:00,60,48,415,1
2024-04-02 22:00:00,82,88,174,1
2024-04-02 23:00:00,45,23,289,0
2024-04-03 00:00:00,39,53,402,1
2024-04-03 01:00:00,72,30,70,1
2024-04-03 02:00:00,95,74,212,1
2024-04-03 03:00:00,79,78,236,1
2024-04-03 04:00:00,81,40,485,1
2024-04-03 05:00:00,16,32,25,0
2024-04-03 06:00:00,7,22,402,1
2024-04-03 07:00:00,81,71,313,1
2024-04-03 08:00:00,65,40,253,0
2024-04-03 09:00:00,28,54,366,0
2024-04-03 10:00:00,31,24,405,1
2024-04-03 11:00:00,7,25,77,0
2024-04-03 12:00:00,58,58,127,0
2024-04-03 13:00:00,14,62,348,0
2024-04-03 14:00:00,64,53,174,0
2024-04-03 15:00:00,67,33,113,0
2024-04-03 16:00:00,61,23,430,1
2024-04-03 17:00:00,20,31,203,0
2024-04-03 18:00:00,59,23,60,0
2024-04-03 19:00:00,92,34,406,1
2024-04-03 20:00:00,28,79,451,1
2024-04-03 21:00:00,51,61,330,0
2024-04-03 22:00:00,30,20,78,0
2024-04-03 23:00:00,41,49,372,0
2024-04-04 00:00:00,84,56,192,1
2024-04-04 01:00:00,23,83,122,0
2024-04-04 02:00:00,77,56,202,1
2024-04-04 03:00:00,32,77,355,0
2024-04-04 04:00:00,24,40,97,0
2024-04-04 05:00:00,17,73,285,0
2024-04-04 06:00:00,23,32,342,0
2024-04-04 07:00:00,52,29,267,0
2024-04-04 08:00:00,66,39,409,1
2024-04-04 09:00:00,50,41,419,1
2024-04-04 10:00:00,73,45,109,1
2024-04-04 11:00:00,89,21,488,1
2024-04-04 12:00:00,85,32,331,1
2024-04-04 13:00:00,31,33,204,0
2024-04-04 14:00:00,36,88,391,0
2024-04-04 15:00:00,15,80,70,0
2024-04-04 16:00:00,77,62,445,1
2024-04-04 17:00:00,92,80,55,1
2024-04-04 18:00:00,34,83,327,0
2024-04-04 19:00:00,81,35,382,1
2024-04-04 20:00:00,77,90,146,1
2024-04-04 21:00:00,48,31,25,0
2024-04-04 22:00:00,82,30,23,1
2024-04-04 23:00:00,30,73,433,1
2024-04-05 00:00:00,86,80,454,1
2024-04-05 01:00:00,71,61,444,1
2024-04-05 02:00:00,66,41,344,0
2024-04-05 03:00:00,91,50,152,1
2024-04-05 04:00:00,50,84,20,0
2024-04-05 05:00:00,66,47,212,0
2024-04-05 06:00:00,62,82,392,0
2024-04-05 07:00:00,73,29,432,1
2024-04-05 08:00:00,31,57,481,1
2024-04-05 09:00:00,67,51,131,0
2024-04-05 10:00:00,84,66,365,1
2024-04-05 11:00:00,14,65,426,1
2024-04-05 12:00:00,88,58,326,1
2024-04-05 13:00:00,36,61,423,1
2024-04-05 14:00:00,12,56,64,0
2024-04-05 15:00:00,95,39,280,1
2024-04-05 16:00:00,65,81,65,0
2024-04-05 17:00:00,25,75,99,0
2024-04-05 18:00:00,23,69,418,1
2024-04-05 19:00:00,53,69,362,0
2024-04-05 20:00:00,81,81,162,1
2024-04-05 21:00:00,32,88,232,0
2024-04-05 22:00:00,43,83,343,0
2024-04-05 23:00:00,95,53,315,1
2024-04-06 00:00:00,30,31,491,1
2024-04-06 01:00:00,76,24,367,1
2024-04-06 02:00:00,64,83,383,0
